,id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent,gap diffrence vote,gap gap percentage
174,928162,kec,6900,0,6694,0,206,0,2.99,0.0,6900,6694,78203/79564,206,2.99
175,1063,kec,377,3676,366,3583,11,93,2.92,2.53,-3299,-3217,1/671,82,0.3900000000000001
176,83557,kec,5295,2697,5148,2401,147,296,2.78,10.98,2598,2747,81877/82850,149,8.200000000000001
177,58568,kec,27380,21425,26656,20877,724,548,2.64,2.56,5955,5779,58285/58567,176,0.08000000000000007
178,13161,kel,366,3526,382,3650,-16,-124,-4.37,-3.52,-3160,-3268,12920/13099/13158,108,0.8500000000000001
179,71564,kel,675,835,646,830,29,5,4.3,0.6,-160,-184,69268/71437/71557,24,3.6999999999999997
180,73546,kec,3125,1526,3050,1481,75,45,2.4,2.95,1599,1569,72551/928084,30,0.5500000000000003
181,66710,kec,4967,711,4852,704,115,7,2.32,0.98,4256,4148,65702/66544,108,1.3399999999999999
182,25602,kel,150,140,156,210,-6,-70,-4.0,-50.0,10,-54,25405/25597/930099,64,46.0
183,52867,kel,729,1839,758,1979,-29,-140,-3.98,-7.61,-1110,-1221,51578/52593/52865,111,3.6300000000000003
184,16309,kel,126,572,121,577,5,-5,3.97,-0.87,-446,-456,15885/16183/16307,10,4.84
185,25604,kel,156,210,150,140,6,70,3.85,33.33,-54,10,25405/25597/930099,64,29.479999999999997
186,15923,kec,1013,8560,990,8346,23,214,2.27,2.5,-7547,-7356,15885/15886,191,0.22999999999999998
187,13158,kec,731,5956,715,5832,16,124,2.19,2.08,-5225,-5117,12920/13099,108,0.10999999999999988
188,928153,kec,6472,0,6338,0,134,0,2.07,0.0,6472,6338,78203/79564,134,2.07
189,51044,kel,3415,1394,3300,1443,115,-49,3.37,-3.52,2021,1857,42385/50735/51042,164,6.890000000000001
190,76300,kel,218,8,225,10,-7,-2,-3.21,-25.0,210,215,76096/76284/76297,5,21.79
191,89137,kel,835,0,809,0,26,0,3.11,0.0,835,809,78203/79564/928162,26,3.11
192,13137,kel,744,2880,767,2984,-23,-104,-3.09,-3.61,-2136,-2217,12920/13099/13136,81,0.52
193,73971,kec,3823,7964,3745,7703,78,261,2.04,3.28,-4141,-3958,72551/73650,183,1.2399999999999998
194,71748,kec,2397,6966,2356,6872,41,94,1.71,1.35,-4569,-4516,69268/71579,53,0.3599999999999999
195,71633,kec,2364,7057,2328,6852,36,205,1.52,2.9,-4693,-4524,69268/71579,169,1.38
196,47200,kel,2144,623,2084,696,60,-73,2.8,-11.72,1521,1388,42385/47001/47191,133,14.52
197,928121,kec,6335,0,6243,0,92,0,1.45,0.0,6335,6243,78203/80724,92,1.45
198,13136,kec,1609,7571,1586,7467,23,104,1.43,1.37,-5962,-5881,12920/13099,81,0.05999999999999983
199,68820,kel,428,350,439,354,-11,-4,-2.57,-1.14,78,85,67393/928074/68816,7,1.43
200,80213,kel,277,13,270,13,7,0,2.53,0.0,264,257,78203/80144/80204,7,2.53
201,82788,kel,161,7,165,7,-4,0,-2.48,0.0,154,158,81877/82724/82785,4,2.48
202,52511,kel,2680,5433,2615,5314,65,119,2.43,2.19,-2753,-2699,51578/52287/52502,54,0.2400000000000002
203,10953,kec,2244,65,2214,63,30,2,1.34,3.08,2179,2151,6728/10646,28,1.74
204,11594,kel,2251,1544,2304,1534,-53,10,-2.35,0.65,707,770,6728/11374/11593,63,3.0
205,20944,kec,6838,3542,6756,3449,82,93,1.2,2.63,3296,3307,20802/20923,11,1.43
206,82801,kel,263,11,269,5,-6,6,-2.28,54.55,252,264,81877/82724/82793,12,56.83
207,13868,kec,1182,5137,1168,5054,14,83,1.18,1.62,-3955,-3886,12920/13844,69,0.44000000000000017
208,83501,kec,5359,3403,5299,3312,60,91,1.12,2.67,1956,1987,22328/24850,31,1.5499999999999998
209,13672,kel,790,3539,807,3638,-17,-99,-2.15,-2.8,-2749,-2831,12920/13634/13671,82,0.6499999999999999
210,11328,kec,18397,397,18213,396,184,1,1.0,0.25,18000,17817,6728/11247,183,0.75
211,41967,kel,6103,2732,5978,2696,125,36,2.05,1.32,3371,3282,41863/41965/41966,89,0.7299999999999998
212,75536,kec,5981,641,5924,633,57,8,0.95,1.25,5340,5291,75425/75502,49,0.30000000000000004
213,13100,kec,848,13174,840,13059,8,115,0.94,0.87,-12326,-12219,12920/13099,107,0.06999999999999995
214,31357,kel,1340,2602,1366,2641,-26,-39,-1.94,-1.5,-1262,-1275,26141/31345/31355,13,0.43999999999999995
215,80206,kel,212,11,208,11,4,0,1.89,0.0,201,197,78203/80144/80204,4,1.89
216,54951,kel,2604,1053,2555,1045,49,8,1.88,0.76,1551,1510,54020/54925/54947,41,1.1199999999999999
217,80193,kel,169,7,166,10,3,-3,1.78,-42.86,162,156,78203/80144/80191,6,44.64
218,82787,kel,57,0,58,0,-1,0,-1.75,0.0,57,58,81877/82724/82785,1,1.75
219,82917,kec,1885,98,1870,98,15,0,0.8,0.0,1787,1772,81877/82850,15,0.8
220,62708,kec,10909,19542,10824,19750,85,-208,0.78,-1.06,-8633,-8926,61965/62643,293,1.84
221,77345,kel,191,79,194,245,-3,-166,-1.57,-210.13,112,-51,77085/77311/929217,163,208.56
222,77344,kel,194,245,191,79,3,166,1.55,67.76,-51,112,77085/77311/929217,163,66.21000000000001
223,56793,kel,260,8,264,4,-4,4,-1.54,50.0,252,260,55065/56671/56782,8,51.54
224,66194,kel,520,520,528,296,-8,224,-1.54,43.08,0,232,65702/66188/66189,232,44.62
225,72875,kel,65,194,64,194,1,0,1.54,0.0,-129,-130,72551/928077/72874,1,1.54
226,83621,kec,1011,20,1004,19,7,1,0.69,5.0,991,985,78203/80526,6,4.3100000000000005
227,83765,kec,7553,15285,7507,15112,46,173,0.61,1.13,-7732,-7605,69268/71327,127,0.5199999999999999
228,82802,kec,2273,185,2261,191,12,-6,0.53,-3.24,2088,2070,81877/82724,18,3.7700000000000005
229,64095,kel,2970,6140,3013,6140,-43,0,-1.45,0.0,-3170,-3127,61965/64085/64091,43,1.45
230,23315,kec,9082,29521,9038,29582,44,-61,0.48,-0.21,-20439,-20544,22328/23189,105,0.69
231,66189,kec,8570,4992,8530,5328,40,-336,0.47,-6.73,3578,3202,65702/66188,376,7.2
232,31355,kec,6378,17942,6352,17903,26,39,0.41,0.22,-11564,-11551,26141/31345,13,0.18999999999999997
233,56862,kel,318,18,314,18,4,0,1.26,0.0,300,296,55065/56671/56857,4,1.26
234,27826,kec,15271,30634,15232,30724,39,-90,0.26,-0.29,-15363,-15492,26141/27714,129,0.55
235,13260,kec,909,14262,907,14304,2,-42,0.22,-0.29,-13353,-13397,12920/13253,44,0.51
236,24680,kec,8329,2994,8316,2986,13,8,0.16,0.27,5335,5330,22328/24484,5,0.11000000000000001
237,50700,kec,5860,69608,5854,69606,6,2,0.1,0.0,-63748,-63752,42385/50532,4,0.1
238,13327,kel,995,9222,984,9152,11,70,1.11,0.76,-8227,-8168,12920/13317/13322,59,0.3500000000000001
239,13402,kel,1033,6900,1044,7010,-11,-110,-1.06,-1.59,-5867,-5966,12920/13317/13398,99,0.53
240,27813,kec,8809,32296,8801,32278,8,18,0.09,0.06,-23487,-23477,26141/27714,10,0.03
241,13398,kec,1409,11202,1408,11260,1,-58,0.07,-0.52,-9793,-9852,12920/13317,59,0.5900000000000001
242,14777,kel,2630,6842,2605,6761,25,81,0.95,1.18,-4212,-4156,14086/14741/14775,56,0.22999999999999998
243,13318,kec,1479,12575,1478,12620,1,-45,0.07,-0.36,-11096,-11142,12920/13317,46,0.43
244,5788,kel,106,1006,107,1006,-1,0,-0.94,0.0,-900,-899,1/5694/5766,1,0.94
245,80194,kel,231,16,233,16,-2,0,-0.87,0.0,215,217,78203/80144/80191,2,0.87
246,2864,kec,1889,22519,1888,22519,1,0,0.05,0.0,-20630,-20631,1/2452,1,0.05
247,17276,kec,3867,7493,3865,7513,2,-20,0.05,-0.27,-3626,-3648,15885/17215,22,0.32
248,52857,kec,6899,18522,6897,18576,2,-54,0.03,-0.29,-11623,-11679,51578/52593,56,0.31999999999999995
249,20818,kec,5076,4173,5075,4173,1,0,0.02,0.0,903,902,20802/20803,1,0.02
250,67532,kel,274,608,276,608,-2,0,-0.73,0.0,-334,-332,67393/67394/67527,2,0.73
251,67140,kec,22145,10296,22144,10296,1,0,0.0,0.0,11849,11848,65702/67130,1,0.0
252,928130,kec,916,0,916,0,0,0,0.0,0.0,916,916,78203/81007,0,0.0
253,74229,kec,2889,2062,2889,3738,0,-1676,0.0,-81.28,827,-849,72551/74179,1676,81.28
254,41987,kel,7950,2797,7995,2799,-45,-2,-0.57,-0.07,5153,5196,41863/41965/41984,43,0.49999999999999994
255,41313,kel,3561,1746,3541,1788,20,-42,0.56,-2.41,1815,1753,32676/41165/41309,62,2.97
256,80212,kel,370,20,368,20,2,0,0.54,0.0,350,348,78203/80144/80204,2,0.54
257,82838,kel,187,6,188,6,-1,0,-0.53,0.0,181,182,81877/82724/82835,1,0.53
258,6081,kec,599,570,599,573,0,-3,0.0,-0.53,29,26,1/5920,3,0.53
259,78897,kec,4081,581,4081,584,0,-3,0.0,-0.52,3500,3497,78203/78862,3,0.52
260,9,kec,1517,12582,1517,12623,0,-41,0.0,-0.33,-11065,-11106,1/2,41,0.33
261,56731,kel,200,43,201,42,-1,1,-0.5,2.33,157,159,55065/56671/56724,2,2.83
262,77436,kec,3847,1856,3847,1852,0,4,0.0,0.22,1991,1995,77085/77364,4,0.22
263,29825,kec,15770,7519,15770,7529,0,-10,0.0,-0.13,8251,8241,26141/29369,10,0.13
264,23716,kec,5909,2988,5909,2987,0,1,0.0,0.03,2921,2922,22328/23460,1,0.03
265,62902,kec,3017,12003,3017,12002,0,1,0.0,0.01,-8986,-8985,61965/62861,1,0.01
266,29344,kec,7889,12384,7889,12385,0,-1,0.0,-0.01,-4495,-4496,26141/28960,1,0.01
267,41972,kel,4594,2071,4608,2084,-14,-13,-0.3,-0.63,2523,2524,41863/41965/41969,1,0.33
268,42261,kel,15805,7179,15760,7161,45,18,0.28,0.25,8626,8599,41863/42221/42259,27,0.030000000000000027
269,13320,kel,355,3905,356,3860,-1,45,-0.28,1.15,-3550,-3504,12920/13317/13318,46,1.43
270,26082,kel,6397,12699,6380,12693,17,6,0.27,0.05,-6302,-6313,25823/26065/26081,11,0.22000000000000003
271,62432,kec,8346,12981,8346,12980,0,1,0.0,0.01,-4635,-4634,61965/62333,1,0.01
272,41686,kec,80542,25725,80563,25733,-21,-8,-0.03,-0.03,54817,54830,32676/41585,13,0.0
273,42052,kel,13946,5947,13981,5981,-35,-34,-0.25,-0.57,7999,8000,41863/41965/42048,1,0.31999999999999995
274,50567,kel,858,2091,860,2091,-2,0,-0.23,0.0,-1233,-1231,42385/50532/50551,2,0.23
275,7115,kel,874,31,876,36,-2,-5,-0.23,-16.13,843,840,6728/7013/7112,3,15.899999999999999
276,28514,kel,441,1076,440,1076,1,0,0.23,0.0,-635,-636,26141/28182/28508,1,0.23
277,13323,kel,2246,17038,2241,17012,5,26,0.22,0.15,-14792,-14771,12920/13317/13322,21,0.07
278,50687,kec,2275,48937,2276,48936,-1,1,-0.04,0.0,-46662,-46660,42385/50532,2,0.04
279,41985,kel,6396,2667,6410,2680,-14,-13,-0.22,-0.49,3729,3730,41863/41965/41984,1,0.27
280,31347,kel,5161,7909,5171,7898,-10,11,-0.19,0.14,-2748,-2727,26141/31345/31346,21,0.33
281,41188,kec,33720,19352,33736,19393,-16,-41,-0.05,-0.21,14368,14343,32676/41165,25,0.15999999999999998
282,82298,kec,6029,45,6032,42,-3,3,-0.05,6.67,5984,5990,81877/928081,6,6.72
283,76388,kel,566,281,565,279,1,2,0.18,0.71,285,286,76096/76284/83815,1,0.53
284,32422,kec,57717,61674,57747,61674,-30,0,-0.05,0.0,-3957,-3927,26141/32403,30,0.05
285,930830,kel,1347,19,1345,19,2,0,0.15,0.0,1328,1326,55065/57935/57956,2,0.15
286,929143,kel,2037,323,2034,323,3,0,0.15,0.0,1714,1711,81877/83289/928196,3,0.15
287,83650,kec,1838,0,1839,0,-1,0,-0.05,0.0,1838,1839,78203/81261,1,0.05
288,47156,kel,2277,976,2280,973,-3,3,-0.13,0.31,1301,1307,42385/47001/47154,6,0.44
289,13391,kel,777,6352,776,6409,1,-57,0.13,-0.9,-5575,-5633,12920/13317/13385,58,1.03
290,13328,kec,1822,16509,1823,16556,-1,-47,-0.05,-0.28,-14687,-14733,12920/13317,46,0.23000000000000004
291,77942,kec,1777,2056,1778,2056,-1,0,-0.06,0.0,-279,-278,77085/928079,1,0.06
292,930083,kec,3943,364,3946,364,-3,0,-0.08,0.0,3579,3582,6728/10646,3,0.08
293,83474,kec,1282,7334,1283,7335,-1,-1,-0.08,-0.01,-6052,-6052,12920/12921,0,0.07
294,44821,kel,10272,5837,10282,5837,-10,0,-0.1,0.0,4435,4445,42385/44643/44820,10,0.1
295,83471,kec,2029,209,2031,211,-2,-2,-0.1,-0.96,1820,1820,6728/10646,0,0.86
296,70921,kec,4570,2570,4575,2602,-5,-32,-0.11,-1.25,2000,1973,69268/70873,27,1.14
297,82277,kec,2621,52,2624,49,-3,3,-0.11,5.77,2569,2575,81877/928081,6,5.88
298,25804,kec,49100,39545,49169,39598,-69,-53,-0.14,-0.13,9555,9571,25405/25746,16,0.010000000000000009
299,42024,kec,43377,28079,43454,28151,-77,-72,-0.18,-0.26,15298,15303,41863/41965,5,0.08000000000000002
300,45912,kel,1666,763,1665,763,1,0,0.06,0.0,903,902,42385/45561/45905,1,0.06
301,32579,kec,10891,27858,10911,27869,-20,-11,-0.18,-0.04,-16967,-16958,26141/32566,9,0.13999999999999999
302,7340,kec,5460,2514,5474,2502,-14,12,-0.26,0.48,2946,2972,6728/7240,26,0.74
303,13322,kec,4394,34201,4410,34297,-16,-96,-0.36,-0.28,-29807,-29887,12920/13317,80,0.07999999999999996
304,82815,kec,1308,199,1313,195,-5,4,-0.38,2.01,1109,1118,81877/82724,9,2.3899999999999997
305,83462,kec,2724,111,2738,111,-14,0,-0.51,0.0,2613,2627,6728/10646,14,0.51
306,54947,kec,22467,17471,22587,17485,-120,-14,-0.53,-0.08,4996,5102,54020/54925,106,0.45
307,13555,kec,3196,311,3215,311,-19,0,-0.59,0.0,2885,2904,12920/13554,19,0.59
308,67124,kec,2579,365,2600,385,-21,-20,-0.81,-5.48,2214,2215,65702/67035,1,4.67
309,25810,kel,8747,8219,8743,8230,4,-11,0.05,-0.13,528,513,25405/25746/25804,15,0.18
310,78886,kec,931,34,939,27,-8,7,-0.86,20.59,897,912,78203/78862,15,21.45
311,31793,kel,2653,5622,2652,5622,1,0,0.04,0.0,-2969,-2970,26141/31685/31791,1,0.04
312,77932,kec,3306,3724,3345,3778,-39,-54,-1.18,-1.45,-418,-433,77085/928079,15,0.27
313,71557,kec,2082,6905,2111,6910,-29,-5,-1.39,-0.07,-4823,-4799,69268/71437,24,1.3199999999999998
314,42328,kel,4525,1936,4524,1932,1,4,0.02,0.21,2589,2592,41863/42325/42326,3,0.19
315,42260,kel,22715,8980,22710,8973,5,7,0.02,0.08,13735,13737,41863/42221/42259,2,0.06
316,50645,kec,4574,53833,4642,53833,-68,0,-1.49,0.0,-49259,-49191,42385/50532,68,1.49
317,3280,kec,1352,12701,1375,12783,-23,-82,-1.7,-0.65,-11349,-11408,1/3205,59,1.0499999999999998
318,41779,kabko,138319,49784,138320,49784,-1,0,-0.0,0.0,88535,88536,32676,1,0.0
319,52953,kec,21796,29910,22229,29953,-433,-43,-1.99,-0.14,-8114,-7724,51578/52936,390,1.85
320,64920,kel,58,0,58,0,0,0,0.0,0.0,58,58,928068/64709/930101,0,0.0
321,83256,kel,174,2,174,12,0,-10,0.0,-500.0,172,162,81877/83194/83252,10,500.0
322,74232,kel,580,1869,580,193,0,1676,0.0,89.67,-1289,387,72551/74179/74229,1676,89.67
323,82890,kec,1466,411,1540,584,-74,-173,-5.05,-42.09,1055,956,81877/82850,99,37.040000000000006
324,7577,kel,1006,13,1006,23,0,-10,0.0,-76.92,993,983,6728/7438/7569,10,76.92
325,80217,kel,159,4,159,3,0,1,0.0,25.0,155,156,78203/80144/80204,1,25.0
326,84967,kel,523,639,523,689,0,-50,0.0,-7.82,-116,-166,51578/51579/51686,50,7.82
327,6087,kel,44,43,44,40,0,3,0.0,6.98,1,4,1/5920/6081,3,6.98
328,29790,kel,1845,966,1845,908,0,58,0.0,6.0,879,937,26141/29369/29784,58,6.0
329,87151,kel,353,60,353,57,0,3,0.0,5.0,293,296,81877/82724/82725,3,5.0
330,55886,kel,1365,69,1365,72,0,-3,0.0,-4.35,1296,1293,55065/928072/55882,3,4.35
331,3659,kel,10,196,10,192,0,4,0.0,2.04,-186,-182,1/3205/3633,4,2.04
332,51046,kel,1475,821,1475,830,0,-9,0.0,-1.1,654,645,42385/50735/51042,9,1.1
333,29827,kel,2348,1026,2348,1016,0,10,0.0,0.97,1322,1332,26141/29369/29825,10,0.97
334,80205,kel,310,113,310,112,0,1,0.0,0.88,197,198,78203/80144/80204,1,0.88
335,81141,kec,1786,803,1886,703,-100,100,-5.6,12.45,983,1183,78203/81104,200,18.049999999999997
336,18678,kel,358,581,358,584,0,-3,0.0,-0.52,-223,-226,17404/18643/18662,3,0.52
337,50413,kec,37383,45246,42023,40752,-4640,4494,-12.41,9.93,-7863,1271,42385/50331,9134,22.34
338,18676,kel,1196,754,1196,751,0,3,0.0,0.4,442,445,17404/18643/18662,3,0.4
339,44296,kel,5858,1393,5858,1398,0,-5,0.0,-0.36,4465,4460,42385/43993/44293,5,0.36
340,47762,kec,18468,6479,21677,7003,-3209,-524,-17.38,-8.09,11989,14674,42385/47634,2685,9.29
341,50610,kel,173,1931,173,1926,0,5,0.0,0.26,-1758,-1753,42385/50532/50604,5,0.26
342,77772,kel,98,415,98,414,0,1,0.0,0.24,-317,-316,77085/77578/77770,1,0.24
343,47718,kec,22044,8727,26607,8760,-4563,-33,-20.7,-0.38,13317,17847,42385/47634,4530,20.32
344,62447,kel,267,480,267,481,0,-1,0.0,-0.21,-213,-214,61965/62333/62432,1,0.21
345,69159,kel,576,657,576,656,0,1,0.0,0.15,-81,-80,67393/69089/928089,1,0.15
346,47812,kec,21677,7003,26697,7644,-5020,-641,-23.16,-9.15,14674,19053,42385/47634,4379,14.01
347,31013,kel,2258,888,2258,887,0,1,0.0,0.11,1370,1371,26141/30851/31007,1,0.11
348,52065,kel,820,1304,820,1303,0,1,0.0,0.08,-484,-483,51578/51913/52051,1,0.08
349,8184,kel,1113,1413,1113,1412,0,1,0.0,0.07,-300,-299,6728/8094/8176,1,0.07
350,47635,kec,20048,7930,25525,9633,-5477,-1703,-27.32,-21.48,12118,15892,42385/47634,3774,5.84
351,25919,kel,8250,7310,8250,7308,0,2,0.0,0.03,940,942,25823/25886/25916,2,0.03
352,47683,kec,15836,3753,22044,8727,-6208,-4974,-39.2,-132.53,12083,13317,42385/47634,1234,93.33
353,47663,kec,16219,4057,28633,10574,-12414,-6517,-76.54,-160.64,12162,18059,42385/47634,5897,84.09999999999998
354,47796,kec,11362,4863,32124,9844,-20762,-4981,-182.73,-102.43,6499,22280,42385/47634,15781,80.29999999999998
